A0 00:W 01:H 02:I 03:C 04:H C:1 H:1 I:1 W:1
A1 10:W 11:H 12:I 13:C 14:H C:1 H:1 I:1 W:1
A2 20:W 21:H 22:I 23:C 24:H C:1 H:1 I:1 W:1
A3 30:W 31:H 32:I 33:C 34:H C:1 H:1 I:1 W:1
A0 00:T 01:H 02:E 03:R 04:E E:1 H:1 R:1 T:1
A1 10:T 11:H 12:E 13:R 14:E E:1 H:1 R:1 T:1
A2 20:T 21:H 22:E 23:R 24:E E:1 H:1 R:1 T:1
A3 30:T 31:H 32:E 33:R 34:E E:1 H:1 R:1 T:1
A0 00:T 01:H 02:E 03:I 04:R E:1 H:1 I:1 R:1 T:1
A1 10:T 11:H 12:E 13:I 14:R E:1 H:1 I:1 R:1 T:1
A2 20:T 21:H 22:E 23:I 24:R E:1 H:1 I:1 R:1 T:1
A3 30:T 31:H 32:E 33:I 34:R E:1 H:1 I:1 R:1 T:1
A0 00:A 01:B 02:O 03:U 04:T A:1 B:1 O:1 T:1 U:1
A1 10:A 11:B 12:O 13:U 14:T A:1 B:1 O:1 T:1 U:1
A2 20:A 21:B 22:O 23:U 24:T A:1 B:1 O:1 T:1 U:1
A3 30:A 31:B 32:O 33:U 34:T A:1 B:1 O:1 T:1 U:1
A0 00:W 01:O 02:U 03:L 04:D D:1 L:1 O:1 U:1 W:1
A1 10:W 11:O 12:U 13:L 14:D D:1 L:1 O:1 U:1 W:1
A2 20:W 21:O 22:U 23:L 24:D D:1 L:1 O:1 U:1 W:1
A3 30:W 31:O 32:U 33:L 34:D D:1 L:1 O:1 U:1 W:1
A0 00:T 01:H 02:E 03:S 04:E E:1 H:1 S:1 T:1
A1 10:T 11:H 12:E 13:S 14:E E:1 H:1 S:1 T:1
A2 20:T 21:H 22:E 23:S 24:E E:1 H:1 S:1 T:1
A3 30:T 31:H 32:E 33:S 34:E E:1 H:1 S:1 T:1
A0 00:O 01:T 02:H 03:E 04:R E:1 H:1 O:1 R:1 T:1
A1 10:O 11:T 12:H 13:E 14:R E:1 H:1 O:1 R:1 T:1
A2 20:O 21:T 22:H 23:E 24:R E:1 H:1 O:1 R:1 T:1
A3 30:O 31:T 32:H 33:E 34:R E:1 H:1 O:1 R:1 T:1
A0 00:W 01:O 02:R 03:D 04:S D:1 O:1 R:1 S:1 W:1
A1 10:W 11:O 12:R 13:D 14:S D:1 O:1 R:1 S:1 W:1
A2 20:W 21:O 22:R 23:D 24:S D:1 O:1 R:1 S:1 W:1
A3 30:W 31:O 32:R 33:D 34:S D:1 O:1 R:1 S:1 W:1
A0 00:C 01:O 02:U 03:L 04:D C:1 D:1 L:1 O:1 U:1
A1 10:C 11:O 12:U 13:L 14:D C:1 D:1 L:1 O:1 U:1
A2 20:C 21:O 22:U 23:L 24:D C:1 D:1 L:1 O:1 U:1
A3 30:C 31:O 32:U 33:L 34:D C:1 D:1 L:1 O:1 U:1
A0 00:W 01:R 02:I 03:T 04:E E:1 I:1 R:1 T:1 W:1
A1 10:W 11:R 12:I 13:T 14:E E:1 I:1 R:1 T:1 W:1
A2 20:W 21:R 22:I 23:T 24:E E:1 I:1 R:1 T:1 W:1
A3 30:W 31:R 32:I 33:T 34:E E:1 I:1 R:1 T:1 W:1
A0 00:F 01:I 02:R 03:S 04:T F:1 I:1 R:1 S:1 T:1
A1 10:F 11:I 12:R 13:S 14:T F:1 I:1 R:1 S:1 T:1
A2 20:F 21:I 22:R 23:S 24:T F:1 I:1 R:1 S:1 T:1
A3 30:F 31:I 32:R 33:S 34:T F:1 I:1 R:1 S:1 T:1
A0 00:W 01:A 02:T 03:E 04:R A:1 E:1 R:1 T:1 W:1
A1 10:W 11:A 12:T 13:E 14:R A:1 E:1 R:1 T:1 W:1
A2 20:W 21:A 22:T 23:E 24:R A:1 E:1 R:1 T:1 W:1
