P 00 01 10 11 20
P 05 06 15 16 25
P 0a 0b 1a 1b 2a
P 0f 0g 1f 1g 2f
P 03 04 13 14 24
P 08 09 18 19 29
P 0d 0e 1d 1e 2e
P 0i 0j 1i 1j 2j
P 00 10 11 20 21
P 05 15 16 25 26
P 0a 1a 1b 2a 2b
P 0f 1f 1g 2f 2g
P 04 13 14 23 24
P 09 18 19 28 29
P 0e 1d 1e 2d 2e
P 0j 1i 1j 2i 2j
P 00 01 02 10 11
P 01 02 03 11 12
P 02 03 04 12 13
P 03 04 05 13 14
P 04 05 06 14 15
P 05 06 07 15 16
P 06 07 08 16 17
P 07 08 09 17 18
P 08 09 0a 18 19
P 09 0a 0b 19 1a
P 0a 0b 0c 1a 1b
P 0b 0c 0d 1b 1c
P 0c 0d 0e 1c 1d
P 0d 0e 0f 1d 1e
P 0e 0f 0g 1e 1f
P 0f 0g 0h 1f 1g
P 0g 0h 0i 1g 1h
P 0h 0i 0j 1h 1i
P 10 11 12 20 21
P 11 12 13 21 22
P 12 13 14 22 23
P 13 14 15 23 24
P 14 15 16 24 25
P 15 16 17 25 26
P 16 17 18 26 27
P 17 18 19 27 28
P 18 19 1a 28 29
P 19 1a 1b 29 2a
P 1a 1b 1c 2a 2b
P 1b 1c 1d 2b 2c
P 1c 1d 1e 2c 2d
P 1d 1e 1f 2d 2e
P 1e 1f 1g 2e 2f
P 1f 1g 1h 2f 2g
P 1g 1h 1i 2g 2h
P 00 01 02 11 12
P 01 02 03 12 13
P 02 03 04 13 14
P 03 04 05 14 15
P 04 05 06 15 16
P 05 06 07 16 17
P 06 07 08 17 18
P 07 08 09 18 19
P 08 09 0a 19 1a
P 09 0a 0b 1a 1b
P 0a 0b 0c 1b 1c
P 0b 0c 0d 1c 1d
P 0c 0d 0e 1d 1e
P 0d 0e 0f 1e 1f
P 0e 0f 0g 1f 1g
P 0f 0g 0h 1g 1h
P 0g 0h 0i 1h 1i
P 0h 0i 0j 1i 1j
P 11 12 13 22 23
P 12 13 14 23 24
P 13 14 15 24 25
P 14 15 16 25 26
P 15 16 17 26 27
P 16 17 18 27 28
P 17 18 19 28 29
P 18 19 1a 29 2a
P 19 1a 1b 2a 2b
P 1a 1b 1c 2b 2c
P 1b 1c 1d 2c 2d
P 1c 1d 1e 2d 2e
P 1d 1e 1f 2e 2f
P 1e 1f 1g 2f 2g
P 1f 1g 1h 2g 2h
P 1g 1h 1i 2h 2i
P 1h 1i 1j 2i 2j
P 00 01 10 11 12
P 01 02 11 12 13
P 02 03 12 13 14
P 03 04 13 14 15
P 04 05 14 15 16
P 05 06 15 16 17
P 06 07 16 17 18
P 07 08 17 18 19
P 08 09 18 19 1a
P 09 0a 19 1a 1b
P 0a 0b 1a 1b 1c
P 0b 0c 1b 1c 1d
P 0c 0d 1c 1d 1e
P 0d 0e 1d 1e 1f
P 0e 0f 1e 1f 1g
P 0f 0g 1f 1g 1h
P 0g 0h 1g 1h 1i
P 10 11 20 21 22
P 11 12 21 22 23
P 12 13 22 23 24
P 13 14 23 24 25
P 14 15 24 25 26
P 15 16 25 26 27
P 16 17 26 27 28
P 17 18 27 28 29
P 18 19 28 29 2a
P 19 1a 29 2a 2b
P 1a 1b 2a 2b 2c
P 1b 1c 2b 2c 2d
P 1c 1d 2c 2d 2e
P 1d 1e 2d 2e 2f
P 1e 1f 2e 2f 2g
P 1f 1g 2f 2g 2h
P 1g 1h 2g 2h 2i
P 1h 1i 2h 2i 2j
P 02 03 11 12 13
P 03 04 12 13 14
P 04 05 13 14 15
P 05 06 14 15 16
P 06 07 15 16 17
P 07 08 16 17 18
P 08 09 17 18 19
P 09 0a 18 19 1a
P 0a 0b 19 1a 1b
P 0b 0c 1a 1b 1c
P 0c 0d 1b 1c 1d
P 0d 0e 1c 1d 1e
P 0e 0f 1d 1e 1f
P 0f 0g 1e 1f 1g
P 0g 0h 1f 1g 1h
P 0h 0i 1g 1h 1i
P 0i 0j 1h 1i 1j
P 11 12 20 21 22
P 12 13 21 22 23
P 13 14 22 23 24
P 14 15 23 24 25
P 15 16 24 25 26
P 16 17 25 26 27
P 17 18 26 27 28
P 18 19 27 28 29
P 19 1a 28 29 2a
P 1a 1b 29 2a 2b
P 1b 1c 2a 2b 2c
P 1c 1d 2b 2c 2d
P 1d 1e 2c 2d 2e
P 1e 1f 2d 2e 2f
P 1f 1g 2e 2f 2g
P 1g 1h 2f 2g 2h
P 1h 1i 2g 2h 2i
P 1i 1j 2h 2i 2j
Number of Options for P: 156
