Q 00 01 02 03 13
Q 01 02 03 04 14
Q 02 03 04 05 15
Q 03 04 05 06 16
Q 04 05 06 07 17
Q 05 06 07 08 18
Q 06 07 08 09 19
Q 07 08 09 0a 1a
Q 08 09 0a 0b 1b
Q 09 0a 0b 0c 1c
Q 0a 0b 0c 0d 1d
Q 0b 0c 0d 0e 1e
Q 0c 0d 0e 0f 1f
Q 0d 0e 0f 0g 1g
Q 0e 0f 0g 0h 1h
Q 0f 0g 0h 0i 1i
Q 0g 0h 0i 0j 1j
Q 10 11 12 13 23
Q 11 12 13 14 24
Q 12 13 14 15 25
Q 13 14 15 16 26
Q 14 15 16 17 27
Q 15 16 17 18 28
Q 16 17 18 19 29
Q 17 18 19 1a 2a
Q 18 19 1a 1b 2b
Q 19 1a 1b 1c 2c
Q 1a 1b 1c 1d 2d
Q 1b 1c 1d 1e 2e
Q 1c 1d 1e 1f 2f
Q 1d 1e 1f 1g 2g
Q 1e 1f 1g 1h 2h
Q 1f 1g 1h 1i 2i
Q 1g 1h 1i 1j 2j
Q 00 01 02 03 10
Q 01 02 03 04 11
Q 02 03 04 05 12
Q 03 04 05 06 13
Q 04 05 06 07 14
Q 05 06 07 08 15
Q 06 07 08 09 16
Q 07 08 09 0a 17
Q 08 09 0a 0b 18
Q 09 0a 0b 0c 19
Q 0a 0b 0c 0d 1a
Q 0b 0c 0d 0e 1b
Q 0c 0d 0e 0f 1c
Q 0d 0e 0f 0g 1d
Q 0e 0f 0g 0h 1e
Q 0f 0g 0h 0i 1f
Q 0g 0h 0i 0j 1g
Q 10 11 12 13 20
Q 11 12 13 14 21
Q 12 13 14 15 22
Q 13 14 15 16 23
Q 14 15 16 17 24
Q 15 16 17 18 25
Q 16 17 18 19 26
Q 17 18 19 1a 27
Q 18 19 1a 1b 28
Q 19 1a 1b 1c 29
Q 1a 1b 1c 1d 2a
Q 1b 1c 1d 1e 2b
Q 1c 1d 1e 1f 2c
Q 1d 1e 1f 1g 2d
Q 1e 1f 1g 1h 2e
Q 1f 1g 1h 1i 2f
Q 1g 1h 1i 1j 2g
Q 00 10 11 12 13
Q 01 11 12 13 14
Q 02 12 13 14 15
Q 03 13 14 15 16
Q 04 14 15 16 17
Q 05 15 16 17 18
Q 06 16 17 18 19
Q 07 17 18 19 1a
Q 08 18 19 1a 1b
Q 09 19 1a 1b 1c
Q 0a 1a 1b 1c 1d
Q 0b 1b 1c 1d 1e
Q 0c 1c 1d 1e 1f
Q 0d 1d 1e 1f 1g
Q 0e 1e 1f 1g 1h
Q 0f 1f 1g 1h 1i
Q 0g 1g 1h 1i 1j
Q 10 20 21 22 23
Q 11 21 22 23 24
Q 12 22 23 24 25
Q 13 23 24 25 26
Q 14 24 25 26 27
Q 15 25 26 27 28
Q 16 26 27 28 29
Q 17 27 28 29 2a
Q 18 28 29 2a 2b
Q 19 29 2a 2b 2c
Q 1a 2a 2b 2c 2d
Q 1b 2b 2c 2d 2e
Q 1c 2c 2d 2e 2f
Q 1d 2d 2e 2f 2g
Q 1e 2e 2f 2g 2h
Q 1f 2f 2g 2h 2i
Q 1g 2g 2h 2i 2j
Q 03 10 11 12 13
Q 04 11 12 13 14
Q 05 12 13 14 15
Q 06 13 14 15 16
Q 07 14 15 16 17
Q 08 15 16 17 18
Q 09 16 17 18 19
Q 0a 17 18 19 1a
Q 0b 18 19 1a 1b
Q 0c 19 1a 1b 1c
Q 0d 1a 1b 1c 1d
Q 0e 1b 1c 1d 1e
Q 0f 1c 1d 1e 1f
Q 0g 1d 1e 1f 1g
Q 0h 1e 1f 1g 1h
Q 0i 1f 1g 1h 1i
Q 0j 1g 1h 1i 1j
Q 13 20 21 22 23
Q 14 21 22 23 24
Q 15 22 23 24 25
Q 16 23 24 25 26
Q 17 24 25 26 27
Q 18 25 26 27 28
Q 19 26 27 28 29
Q 1a 27 28 29 2a
Q 1b 28 29 2a 2b
Q 1c 29 2a 2b 2c
Q 1d 2a 2b 2c 2d
Q 1e 2b 2c 2d 2e
Q 1f 2c 2d 2e 2f
Q 1g 2d 2e 2f 2g
Q 1h 2e 2f 2g 2h
Q 1i 2f 2g 2h 2i
Q 1j 2g 2h 2i 2j
