R 01 02 10 11 21
R 02 03 11 12 22
R 03 04 12 13 23
R 04 05 13 14 24
R 05 06 14 15 25
R 06 07 15 16 26
R 07 08 16 17 27
R 08 09 17 18 28
R 09 0a 18 19 29
R 0a 0b 19 1a 2a
R 0b 0c 1a 1b 2b
R 0c 0d 1b 1c 2c
R 0d 0e 1c 1d 2d
R 0e 0f 1d 1e 2e
R 0f 0g 1e 1f 2f
R 0g 0h 1f 1g 2g
R 0h 0i 1g 1h 2h
R 0i 0j 1h 1i 2i
R 00 01 11 12 21
R 01 02 12 13 22
R 02 03 13 14 23
R 03 04 14 15 24
R 04 05 15 16 25
R 05 06 16 17 26
R 06 07 17 18 27
R 07 08 18 19 28
R 08 09 19 1a 29
R 09 0a 1a 1b 2a
R 0a 0b 1b 1c 2b
R 0b 0c 1c 1d 2c
R 0c 0d 1d 1e 2d
R 0d 0e 1e 1f 2e
R 0e 0f 1f 1g 2f
R 0f 0g 1g 1h 2g
R 0g 0h 1h 1i 2h
R 0h 0i 1i 1j 2i
R 01 10 11 21 22
R 02 11 12 22 23
R 03 12 13 23 24
R 04 13 14 24 25
R 05 14 15 25 26
R 06 15 16 26 27
R 07 16 17 27 28
R 08 17 18 28 29
R 09 18 19 29 2a
R 0a 19 1a 2a 2b
R 0b 1a 1b 2b 2c
R 0c 1b 1c 2c 2d
R 0d 1c 1d 2d 2e
R 0e 1d 1e 2e 2f
R 0f 1e 1f 2f 2g
R 0g 1f 1g 2g 2h
R 0h 1g 1h 2h 2i
R 0i 1h 1i 2i 2j
R 01 11 12 20 21
R 02 12 13 21 22
R 03 13 14 22 23
R 04 14 15 23 24
R 05 15 16 24 25
R 06 16 17 25 26
R 07 17 18 26 27
R 08 18 19 27 28
R 09 19 1a 28 29
R 0a 1a 1b 29 2a
R 0b 1b 1c 2a 2b
R 0c 1c 1d 2b 2c
R 0d 1d 1e 2c 2d
R 0e 1e 1f 2d 2e
R 0f 1f 1g 2e 2f
R 0g 1g 1h 2f 2g
R 0h 1h 1i 2g 2h
R 0i 1i 1j 2h 2i
R 01 10 11 12 22
R 02 11 12 13 23
R 03 12 13 14 24
R 04 13 14 15 25
R 05 14 15 16 26
R 06 15 16 17 27
R 07 16 17 18 28
R 08 17 18 19 29
R 09 18 19 1a 2a
R 0a 19 1a 1b 2b
R 0b 1a 1b 1c 2c
R 0c 1b 1c 1d 2d
R 0d 1c 1d 1e 2e
R 0e 1d 1e 1f 2f
R 0f 1e 1f 1g 2g
R 0g 1f 1g 1h 2h
R 0h 1g 1h 1i 2i
R 0i 1h 1i 1j 2j
R 01 10 11 12 20
R 02 11 12 13 21
R 03 12 13 14 22
R 04 13 14 15 23
R 05 14 15 16 24
R 06 15 16 17 25
R 07 16 17 18 26
R 08 17 18 19 27
R 09 18 19 1a 28
R 0a 19 1a 1b 29
R 0b 1a 1b 1c 2a
R 0c 1b 1c 1d 2b
R 0d 1c 1d 1e 2c
R 0e 1d 1e 1f 2d
R 0f 1e 1f 1g 2e
R 0g 1f 1g 1h 2f
R 0h 1g 1h 1i 2g
R 0i 1h 1i 1j 2h
R 02 10 11 12 21
R 03 11 12 13 22
R 04 12 13 14 23
R 05 13 14 15 24
R 06 14 15 16 25
R 07 15 16 17 26
R 08 16 17 18 27
R 09 17 18 19 28
R 0a 18 19 1a 29
R 0b 19 1a 1b 2a
R 0c 1a 1b 1c 2b
R 0d 1b 1c 1d 2c
R 0e 1c 1d 1e 2d
R 0f 1d 1e 1f 2e
R 0g 1e 1f 1g 2f
R 0h 1f 1g 1h 2g
R 0i 1g 1h 1i 2h
R 0j 1h 1i 1j 2i
R 00 10 11 12 21
R 01 11 12 13 22
R 02 12 13 14 23
R 03 13 14 15 24
R 04 14 15 16 25
R 05 15 16 17 26
R 06 16 17 18 27
R 07 17 18 19 28
R 08 18 19 1a 29
R 09 19 1a 1b 2a
R 0a 1a 1b 1c 2b
R 0b 1b 1c 1d 2c
R 0c 1c 1d 1e 2d
R 0d 1d 1e 1f 2e
R 0e 1e 1f 1g 2f
R 0f 1f 1g 1h 2g
R 0g 1g 1h 1i 2h
R 0h 1h 1i 1j 2i
