R 02 03 11 12 22
R 07 08 16 17 27
R 0c 0d 1b 1c 2c
R 0h 0i 1g 1h 2h
R 01 02 12 13 22
R 06 07 17 18 27
R 0b 0c 1c 1d 2c
R 0g 0h 1h 1i 2h
R 02 11 12 22 23
R 07 16 17 27 28
R 0c 1b 1c 2c 2d
R 0h 1g 1h 2h 2i
R 02 12 13 21 22
R 07 17 18 26 27
R 0c 1c 1d 2b 2c
R 0h 1h 1i 2g 2h
R 05 14 15 16 26
R 0a 19 1a 1b 2b
R 0f 1e 1f 1g 2g
R 04 13 14 15 23
R 09 18 19 1a 28
R 0e 1d 1e 1f 2d
R 06 14 15 16 25
R 0b 19 1a 1b 2a
R 0g 1e 1f 1g 2f
R 03 13 14 15 24
R 08 18 19 1a 29
R 0d 1d 1e 1f 2e
Number of Options for R: 28
