S 01 02 03 13 14
S 02 03 04 14 15
S 03 04 05 15 16
S 04 05 06 16 17
S 05 06 07 17 18
S 06 07 08 18 19
S 07 08 09 19 1a
S 08 09 0a 1a 1b
S 09 0a 0b 1b 1c
S 0a 0b 0c 1c 1d
S 0b 0c 0d 1d 1e
S 0c 0d 0e 1e 1f
S 0d 0e 0f 1f 1g
S 0e 0f 0g 1g 1h
S 0f 0g 0h 1h 1i
S 10 11 12 22 23
S 11 12 13 23 24
S 12 13 14 24 25
S 13 14 15 25 26
S 14 15 16 26 27
S 15 16 17 27 28
S 16 17 18 28 29
S 17 18 19 29 2a
S 18 19 1a 2a 2b
S 19 1a 1b 2b 2c
S 1a 1b 1c 2c 2d
S 1b 1c 1d 2d 2e
S 1c 1d 1e 2e 2f
S 1d 1e 1f 2f 2g
S 1e 1f 1g 2g 2h
S 1f 1g 1h 2h 2i
S 1g 1h 1i 2i 2j
S 02 03 04 11 12
S 03 04 05 12 13
S 04 05 06 13 14
S 05 06 07 14 15
S 06 07 08 15 16
S 07 08 09 16 17
S 08 09 0a 17 18
S 09 0a 0b 18 19
S 0a 0b 0c 19 1a
S 0b 0c 0d 1a 1b
S 0c 0d 0e 1b 1c
S 0d 0e 0f 1c 1d
S 0e 0f 0g 1d 1e
S 0f 0g 0h 1e 1f
S 0g 0h 0i 1f 1g
S 0h 0i 0j 1g 1h
S 11 12 13 20 21
S 12 13 14 21 22
S 13 14 15 22 23
S 14 15 16 23 24
S 15 16 17 24 25
S 16 17 18 25 26
S 17 18 19 26 27
S 18 19 1a 27 28
S 19 1a 1b 28 29
S 1a 1b 1c 29 2a
S 1b 1c 1d 2a 2b
S 1c 1d 1e 2b 2c
S 1d 1e 1f 2c 2d
S 1e 1f 1g 2d 2e
S 1f 1g 1h 2e 2f
S 1g 1h 1i 2f 2g
S 03 04 11 12 13
S 04 05 12 13 14
S 05 06 13 14 15
S 06 07 14 15 16
S 07 08 15 16 17
S 08 09 16 17 18
S 09 0a 17 18 19
S 0a 0b 18 19 1a
S 0b 0c 19 1a 1b
S 0c 0d 1a 1b 1c
S 0d 0e 1b 1c 1d
S 0e 0f 1c 1d 1e
S 0f 0g 1d 1e 1f
S 0g 0h 1e 1f 1g
S 0h 0i 1f 1g 1h
S 0i 0j 1g 1h 1i
S 12 13 20 21 22
S 13 14 21 22 23
S 14 15 22 23 24
S 15 16 23 24 25
S 16 17 24 25 26
S 17 18 25 26 27
S 18 19 26 27 28
S 19 1a 27 28 29
S 1a 1b 28 29 2a
S 1b 1c 29 2a 2b
S 1c 1d 2a 2b 2c
S 1d 1e 2b 2c 2d
S 1e 1f 2c 2d 2e
S 1f 1g 2d 2e 2f
S 1g 1h 2e 2f 2g
S 1h 1i 2f 2g 2h
S 00 01 11 12 13
S 01 02 12 13 14
S 02 03 13 14 15
S 03 04 14 15 16
S 04 05 15 16 17
S 05 06 16 17 18
S 06 07 17 18 19
S 07 08 18 19 1a
S 08 09 19 1a 1b
S 09 0a 1a 1b 1c
S 0a 0b 1b 1c 1d
S 0b 0c 1c 1d 1e
S 0c 0d 1d 1e 1f
S 0d 0e 1e 1f 1g
S 0e 0f 1f 1g 1h
S 0f 0g 1g 1h 1i
S 11 12 22 23 24
S 12 13 23 24 25
S 13 14 24 25 26
S 14 15 25 26 27
S 15 16 26 27 28
S 16 17 27 28 29
S 17 18 28 29 2a
S 18 19 29 2a 2b
S 19 1a 2a 2b 2c
S 1a 1b 2b 2c 2d
S 1b 1c 2c 2d 2e
S 1c 1d 2d 2e 2f
S 1d 1e 2e 2f 2g
S 1e 1f 2f 2g 2h
S 1f 1g 2g 2h 2i
S 1g 1h 2h 2i 2j
Number of Options for S: 128
