T 00 01 02 11 21
T 01 02 03 12 22
T 02 03 04 13 23
T 03 04 05 14 24
T 04 05 06 15 25
T 05 06 07 16 26
T 06 07 08 17 27
T 07 08 09 18 28
T 08 09 0a 19 29
T 09 0a 0b 1a 2a
T 0a 0b 0c 1b 2b
T 0b 0c 0d 1c 2c
T 0c 0d 0e 1d 2d
T 0d 0e 0f 1e 2e
T 0e 0f 0g 1f 2f
T 0f 0g 0h 1g 2g
T 0g 0h 0i 1h 2h
T 0h 0i 0j 1i 2i
T 01 11 20 21 22
T 02 12 21 22 23
T 03 13 22 23 24
T 04 14 23 24 25
T 05 15 24 25 26
T 06 16 25 26 27
T 07 17 26 27 28
T 08 18 27 28 29
T 09 19 28 29 2a
T 0a 1a 29 2a 2b
T 0b 1b 2a 2b 2c
T 0c 1c 2b 2c 2d
T 0d 1d 2c 2d 2e
T 0e 1e 2d 2e 2f
T 0f 1f 2e 2f 2g
T 0g 1g 2f 2g 2h
T 0h 1h 2g 2h 2i
T 0i 1i 2h 2i 2j
T 00 10 11 12 20
T 01 11 12 13 21
T 02 12 13 14 22
T 03 13 14 15 23
T 04 14 15 16 24
T 05 15 16 17 25
T 06 16 17 18 26
T 07 17 18 19 27
T 08 18 19 1a 28
T 09 19 1a 1b 29
T 0a 1a 1b 1c 2a
T 0b 1b 1c 1d 2b
T 0c 1c 1d 1e 2c
T 0d 1d 1e 1f 2d
T 0e 1e 1f 1g 2e
T 0f 1f 1g 1h 2f
T 0g 1g 1h 1i 2g
T 0h 1h 1i 1j 2h
T 02 10 11 12 22
T 03 11 12 13 23
T 04 12 13 14 24
T 05 13 14 15 25
T 06 14 15 16 26
T 07 15 16 17 27
T 08 16 17 18 28
T 09 17 18 19 29
T 0a 18 19 1a 2a
T 0b 19 1a 1b 2b
T 0c 1a 1b 1c 2c
T 0d 1b 1c 1d 2d
T 0e 1c 1d 1e 2e
T 0f 1d 1e 1f 2f
T 0g 1e 1f 1g 2g
T 0h 1f 1g 1h 2h
T 0i 1g 1h 1i 2i
T 0j 1h 1i 1j 2j
