V 00 01 02 10 20
V 01 02 03 11 21
V 02 03 04 12 22
V 03 04 05 13 23
V 04 05 06 14 24
V 05 06 07 15 25
V 06 07 08 16 26
V 07 08 09 17 27
V 08 09 0a 18 28
V 09 0a 0b 19 29
V 0a 0b 0c 1a 2a
V 0b 0c 0d 1b 2b
V 0c 0d 0e 1c 2c
V 0d 0e 0f 1d 2d
V 0e 0f 0g 1e 2e
V 0f 0g 0h 1f 2f
V 0g 0h 0i 1g 2g
V 0h 0i 0j 1h 2h
V 00 10 20 21 22
V 01 11 21 22 23
V 02 12 22 23 24
V 03 13 23 24 25
V 04 14 24 25 26
V 05 15 25 26 27
V 06 16 26 27 28
V 07 17 27 28 29
V 08 18 28 29 2a
V 09 19 29 2a 2b
V 0a 1a 2a 2b 2c
V 0b 1b 2b 2c 2d
V 0c 1c 2c 2d 2e
V 0d 1d 2d 2e 2f
V 0e 1e 2e 2f 2g
V 0f 1f 2f 2g 2h
V 0g 1g 2g 2h 2i
V 0h 1h 2h 2i 2j
V 00 01 02 12 22
V 01 02 03 13 23
V 02 03 04 14 24
V 03 04 05 15 25
V 04 05 06 16 26
V 05 06 07 17 27
V 06 07 08 18 28
V 07 08 09 19 29
V 08 09 0a 1a 2a
V 09 0a 0b 1b 2b
V 0a 0b 0c 1c 2c
V 0b 0c 0d 1d 2d
V 0c 0d 0e 1e 2e
V 0d 0e 0f 1f 2f
V 0e 0f 0g 1g 2g
V 0f 0g 0h 1h 2h
V 0g 0h 0i 1i 2i
V 0h 0i 0j 1j 2j
V 02 12 20 21 22
V 03 13 21 22 23
V 04 14 22 23 24
V 05 15 23 24 25
V 06 16 24 25 26
V 07 17 25 26 27
V 08 18 26 27 28
V 09 19 27 28 29
V 0a 1a 28 29 2a
V 0b 1b 29 2a 2b
V 0c 1c 2a 2b 2c
V 0d 1d 2b 2c 2d
V 0e 1e 2c 2d 2e
V 0f 1f 2d 2e 2f
V 0g 1g 2e 2f 2g
V 0h 1h 2f 2g 2h
V 0i 1i 2g 2h 2i
V 0j 1j 2h 2i 2j
