W 01 02 10 11 20
W 02 03 11 12 21
W 03 04 12 13 22
W 04 05 13 14 23
W 05 06 14 15 24
W 06 07 15 16 25
W 07 08 16 17 26
W 08 09 17 18 27
W 09 0a 18 19 28
W 0a 0b 19 1a 29
W 0b 0c 1a 1b 2a
W 0c 0d 1b 1c 2b
W 0d 0e 1c 1d 2c
W 0e 0f 1d 1e 2d
W 0f 0g 1e 1f 2e
W 0g 0h 1f 1g 2f
W 0h 0i 1g 1h 2g
W 0i 0j 1h 1i 2h
W 00 01 11 12 22
W 01 02 12 13 23
W 02 03 13 14 24
W 03 04 14 15 25
W 04 05 15 16 26
W 05 06 16 17 27
W 06 07 17 18 28
W 07 08 18 19 29
W 08 09 19 1a 2a
W 09 0a 1a 1b 2b
W 0a 0b 1b 1c 2c
W 0b 0c 1c 1d 2d
W 0c 0d 1d 1e 2e
W 0d 0e 1e 1f 2f
W 0e 0f 1f 1g 2g
W 0f 0g 1g 1h 2h
W 0g 0h 1h 1i 2i
W 0h 0i 1i 1j 2j
W 00 10 11 21 22
W 01 11 12 22 23
W 02 12 13 23 24
W 03 13 14 24 25
W 04 14 15 25 26
W 05 15 16 26 27
W 06 16 17 27 28
W 07 17 18 28 29
W 08 18 19 29 2a
W 09 19 1a 2a 2b
W 0a 1a 1b 2b 2c
W 0b 1b 1c 2c 2d
W 0c 1c 1d 2d 2e
W 0d 1d 1e 2e 2f
W 0e 1e 1f 2f 2g
W 0f 1f 1g 2g 2h
W 0g 1g 1h 2h 2i
W 0h 1h 1i 2i 2j
W 02 11 12 20 21
W 03 12 13 21 22
W 04 13 14 22 23
W 05 14 15 23 24
W 06 15 16 24 25
W 07 16 17 25 26
W 08 17 18 26 27
W 09 18 19 27 28
W 0a 19 1a 28 29
W 0b 1a 1b 29 2a
W 0c 1b 1c 2a 2b
W 0d 1c 1d 2b 2c
W 0e 1d 1e 2c 2d
W 0f 1e 1f 2d 2e
W 0g 1f 1g 2e 2f
W 0h 1g 1h 2f 2g
W 0i 1h 1i 2g 2h
W 0j 1i 1j 2h 2i
