Y 02 10 11 12 13
Y 03 11 12 13 14
Y 04 12 13 14 15
Y 05 13 14 15 16
Y 06 14 15 16 17
Y 07 15 16 17 18
Y 08 16 17 18 19
Y 09 17 18 19 1a
Y 0a 18 19 1a 1b
Y 0b 19 1a 1b 1c
Y 0c 1a 1b 1c 1d
Y 0d 1b 1c 1d 1e
Y 0e 1c 1d 1e 1f
Y 0f 1d 1e 1f 1g
Y 0g 1e 1f 1g 1h
Y 0h 1f 1g 1h 1i
Y 0i 1g 1h 1i 1j
Y 12 20 21 22 23
Y 13 21 22 23 24
Y 14 22 23 24 25
Y 15 23 24 25 26
Y 16 24 25 26 27
Y 17 25 26 27 28
Y 18 26 27 28 29
Y 19 27 28 29 2a
Y 1a 28 29 2a 2b
Y 1b 29 2a 2b 2c
Y 1c 2a 2b 2c 2d
Y 1d 2b 2c 2d 2e
Y 1e 2c 2d 2e 2f
Y 1f 2d 2e 2f 2g
Y 1g 2e 2f 2g 2h
Y 1h 2f 2g 2h 2i
Y 1i 2g 2h 2i 2j
Y 01 10 11 12 13
Y 02 11 12 13 14
Y 03 12 13 14 15
Y 04 13 14 15 16
Y 05 14 15 16 17
Y 06 15 16 17 18
Y 07 16 17 18 19
Y 08 17 18 19 1a
Y 09 18 19 1a 1b
Y 0a 19 1a 1b 1c
Y 0b 1a 1b 1c 1d
Y 0c 1b 1c 1d 1e
Y 0d 1c 1d 1e 1f
Y 0e 1d 1e 1f 1g
Y 0f 1e 1f 1g 1h
Y 0g 1f 1g 1h 1i
Y 0h 1g 1h 1i 1j
Y 11 20 21 22 23
Y 12 21 22 23 24
Y 13 22 23 24 25
Y 14 23 24 25 26
Y 15 24 25 26 27
Y 16 25 26 27 28
Y 17 26 27 28 29
Y 18 27 28 29 2a
Y 19 28 29 2a 2b
Y 1a 29 2a 2b 2c
Y 1b 2a 2b 2c 2d
Y 1c 2b 2c 2d 2e
Y 1d 2c 2d 2e 2f
Y 1e 2d 2e 2f 2g
Y 1f 2e 2f 2g 2h
Y 1g 2f 2g 2h 2i
Y 1h 2g 2h 2i 2j
Y 00 01 02 03 12
Y 01 02 03 04 13
Y 02 03 04 05 14
Y 03 04 05 06 15
Y 04 05 06 07 16
Y 05 06 07 08 17
Y 06 07 08 09 18
Y 07 08 09 0a 19
Y 08 09 0a 0b 1a
Y 09 0a 0b 0c 1b
Y 0a 0b 0c 0d 1c
Y 0b 0c 0d 0e 1d
Y 0c 0d 0e 0f 1e
Y 0d 0e 0f 0g 1f
Y 0e 0f 0g 0h 1g
Y 0f 0g 0h 0i 1h
Y 0g 0h 0i 0j 1i
Y 10 11 12 13 22
Y 11 12 13 14 23
Y 12 13 14 15 24
Y 13 14 15 16 25
Y 14 15 16 17 26
Y 15 16 17 18 27
Y 16 17 18 19 28
Y 17 18 19 1a 29
Y 18 19 1a 1b 2a
Y 19 1a 1b 1c 2b
Y 1a 1b 1c 1d 2c
Y 1b 1c 1d 1e 2d
Y 1c 1d 1e 1f 2e
Y 1d 1e 1f 1g 2f
Y 1e 1f 1g 1h 2g
Y 1f 1g 1h 1i 2h
Y 1g 1h 1i 1j 2i
Y 00 01 02 03 11
Y 01 02 03 04 12
Y 02 03 04 05 13
Y 03 04 05 06 14
Y 04 05 06 07 15
Y 05 06 07 08 16
Y 06 07 08 09 17
Y 07 08 09 0a 18
Y 08 09 0a 0b 19
Y 09 0a 0b 0c 1a
Y 0a 0b 0c 0d 1b
Y 0b 0c 0d 0e 1c
Y 0c 0d 0e 0f 1d
Y 0d 0e 0f 0g 1e
Y 0e 0f 0g 0h 1f
Y 0f 0g 0h 0i 1g
Y 0g 0h 0i 0j 1h
Y 10 11 12 13 21
Y 11 12 13 14 22
Y 12 13 14 15 23
Y 13 14 15 16 24
Y 14 15 16 17 25
Y 15 16 17 18 26
Y 16 17 18 19 27
Y 17 18 19 1a 28
Y 18 19 1a 1b 29
Y 19 1a 1b 1c 2a
Y 1a 1b 1c 1d 2b
Y 1b 1c 1d 1e 2c
Y 1c 1d 1e 1f 2d
Y 1d 1e 1f 1g 2e
Y 1e 1f 1g 1h 2f
Y 1f 1g 1h 1i 2g
Y 1g 1h 1i 1j 2h
